Time;5D_Call_EUR;10D_Call_EUR;15D_Call_EUR;25D_Call_EUR;35D_Call_EUR;ATM;35D_Put_EUR;25D_Put_EUR;15D_Put_EUR;10D_Put_EUR;5D_Put_EUR
1D;8.513;8.315;8.2;8.086;8.071;8.183;8.459;8.769;9.24;9.57;10.055
1W;12.578;12.431;12.379;12.376;12.472;12.782;13.342;13.929;14.811;15.419;16.239
2W;11.458;11.34;11.297;11.325;11.451;11.822;12.479;13.15;14.102;14.735;15.612
3W;10.763;10.686;10.679;10.747;10.896;11.305;11.999;12.707;13.706;14.369;15.261
1M;10.094;10.048;10.061;10.166;10.349;10.805;11.566;12.344;13.459;14.193;15.139
2M;9.315;9.247;9.249;9.334;9.506;9.952;10.744;11.561;12.726;13.477;14.454
3M;8.696;8.622;8.616;8.694;8.86;9.3;10.08;10.901;12.089;12.857;13.831
4M;8.37;8.295;8.288;8.36;8.52;8.948;9.71;10.515;11.688;12.455;13.414
6M;7.993;7.905;7.886;7.949;8.103;8.525;9.283;10.096;11.319;12.125;13.099
9M;7.812;7.698;7.678;7.725;7.85;8.23;8.99;9.825;11.023;11.782;12.76
1Y;7.651;7.525;7.486;7.516;7.648;8.035;8.773;9.599;10.844;11.665;12.669
18M;7.997;7.814;7.72;7.689;7.779;8.12;8.786;9.536;10.66;11.416;12.415
2Y;8.265;8.02;7.874;7.771;7.836;8.152;8.784;9.499;10.606;11.365;12.394
3Y;8.731;8.445;8.256;8.095;8.13;8.4;8.95;9.575;10.569;11.265;12.269
4Y;9.093;8.775;8.557;8.362;8.367;8.6;9.097;9.677;10.612;11.285;12.282
5Y;9.482;9.125;8.881;8.637;8.606;8.787;9.234;9.767;10.639;11.27;12.248
7Y;9.37;9.047;8.824;8.615;8.6;8.815;9.315;9.895;10.781;11.402;12.423
10Y;9.662;9.312;9.051;8.807;8.777;8.98;9.457;10.022;10.904;11.537;12.602
